Designator,Mid X,Mid Y,Rotation,Layer
AMB1,319.087232,-106.858504,180.0,bottom
AMB10,319.087768,-55.06636,180.0,bottom
AMB2,319.087232,-101.103821,180.0,bottom
AMB3,319.087232,-95.349139,180.0,bottom
AMB4,319.087232,-89.594456,180.0,bottom
AMB5,319.087232,-83.839773,180.0,bottom
AMB6,319.087232,-78.085091,180.0,bottom
AMB7,319.087232,-72.330408,180.0,bottom
AMB8,319.087232,-66.575725,180.0,bottom
AMB9,319.087232,-60.821043,180.0,bottom
BOOT1,207.35,-132.35,270.0,top
C1,182.626,-46.228,180.0,bottom
C10,179.0,-137.075632,0.0,bottom
C11,181.94308,-133.672032,90.0,bottom
C12,184.53388,-133.672032,90.0,bottom
C13,190.4325,-136.875,180.0,bottom
C14,182.90828,-133.672032,90.0,bottom
C15,185.49908,-133.189432,90.0,bottom
C16,183.99742,-146.0,270.0,bottom
C17,201.902043,-136.081223,180.0,bottom
C18,222.504,-68.834,90.0,bottom
C19,218.996,-68.834,90.0,bottom
C2,182.626,-52.197,0.0,bottom
C20,215.392,-68.834,90.0,bottom
C21,296.418,-109.933001,90.0,bottom
C22,161.798,-69.088,180.0,bottom
C23,171.5,-50.25,0.0,bottom
C24,191.51888,-149.067832,270.0,bottom
C25,185.72768,-149.067832,90.0,bottom
C26,336.0,-103.75,270.0,bottom
C27,174.77,-141.75,0.0,bottom
C28,174.77,-139.75,0.0,bottom
C29,174.79,-137.75,0.0,bottom
C3,178.53948,-134.916632,90.0,bottom
C4,180.03808,-134.916632,90.0,bottom
C5,183.356096,-69.056192,90.0,bottom
C6,190.4325,-135.75,180.0,bottom
C7,191.40188,-140.707832,180.0,bottom
C8,184.993204,-146.0,270.0,bottom
C9,179.0,-141.0,0.0,bottom
CA1,323.98,-107.558504,180.0,bottom
CA10,324.0,-55.8,180.0,bottom
CA2,324.207107,-101.807559,180.0,bottom
CA3,324.207107,-96.056614,180.0,bottom
CA4,324.207107,-90.305669,180.0,bottom
CA5,324.207107,-84.554724,180.0,bottom
CA6,324.207107,-78.80378,180.0,bottom
CA7,324.207107,-73.052835,180.0,bottom
CA8,324.207107,-67.30189,180.0,bottom
CA9,324.207107,-61.550945,180.0,bottom
CG1,324.0,-43.900001,180.0,bottom
CG2,324.0,-38.9,180.0,bottom
CG3,324.0,-33.9,180.0,bottom
CL1,43.6,-33.75,180.0,bottom
CL10,229.3375,-33.75,180.0,bottom
CL11,248.3875,-33.75,180.0,bottom
CL12,267.4375,-33.75,180.0,bottom
CL13,286.4875,-33.75,180.0,bottom
CL14,310.3,-33.75,180.0,bottom
CL15,32.6,-56.0625,0.0,bottom
CL16,51.65,-56.0625,0.0,bottom
